Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
182,0,-0.0470665,-0.0142771,0.621577,-947.032,-1552.42,95.3281,,,,,,,,,,,,,,,,,,
183,0,-0.0477274,-0.0144249,0.621674,-947.035,-1552.44,95.3229,,,,,,,,,,,,,,,,,,
184,0,-0.0416448,-0.0126681,0.621381,-947.022,-1552.4,95.3012,,,,,,,,,,,,,,,,,,
185,0,-0.0469126,-0.0139855,0.621631,-947.027,-1552.43,95.3492,,,,,,,,,,,,,,,,,,
186,0,-0.0529398,-0.0157077,0.621055,-947.054,-1552.54,95.3816,,,,,,,,,,,,,,,,,,
187,0,-0.0428062,-0.0129636,0.621682,-947.033,-1552.41,95.3479,,,,,,,,,,,,,,,,,,
188,0,-0.0437561,-0.0133878,0.621495,-947.043,-1552.41,95.3439,,,,,,,,,,,,,,,,,,
189,0,-0.0446524,-0.0135211,0.621449,-947.05,-1552.4,95.3372,,,,,,,,,,,,,,,,,,
190,0,-0.052884,-0.0155482,0.621667,-947.041,-1552.49,95.419,,,,,,,,,,,,,,,,,,
191,0,-0.0526086,-0.0162638,0.621352,-947.05,-1552.39,95.2626,,,,,,,,,,,,,,,,,,
192,0,-0.0431395,-0.0130608,0.621663,-947.038,-1552.4,95.3561,,,,,,,,,,,,,,,,,,
193,0,-0.0459525,-0.0139995,0.621457,-947,-1552.44,95.2878,,,,,,,,,,,,,,,,,,
194,0,-0.0443796,-0.0135027,0.621361,-947.046,-1552.41,95.3208,,,,,,,,,,,,,,,,,,
195,0,-0.0440438,-0.013471,0.621469,-947.048,-1552.41,95.3544,,,,,,,,,,,,,,,,,,
196,0,-0.0442895,-0.0135285,0.621645,-947.023,-1552.41,95.3441,,,,,,,,,,,,,,,,,,
197,0,-0.0412957,-0.0127666,0.621913,-946.971,-1552.39,95.2768,,,,,,,,,,,,,,,,,,
198,0,-0.0551133,-0.0176813,0.621678,-946.846,-1552.4,95.1589,,,,,,,,,,,,,,,,,,
199,0,-0.0329847,-0.0139555,0.618545,-947.299,-1552.17,94.725,,,,,,,,,,,,,,,,,,
200,0,-0.027769,-0.0161082,0.619023,-946.778,-1551.93,94.2776,,,,,,,,,,,,,,,,,,
201,0,-0.0493676,-0.0180213,0.621141,-945.56,-1551.52,95.1512,,,,,,,,,,,,,,,,,,
202,0,-0.047523,-0.0182553,0.620391,-944.561,-1550.81,95.3292,,,,,,,,,,,,,,,,,,
203,0,-0.0429066,-0.0160793,0.620843,-943.404,-1549.85,95.631,,,,,,,,,,,,,,,,,,
204,0,-0.0463771,-0.0119851,0.620133,-942.063,-1548.85,95.7774,,,,,,,,,,,,,,,,,,
205,0,-0.0636116,-0.0147571,0.617713,-940.879,-1547.6,95.8443,,,,,,,,,,,,,,,,,,
206,0,-0.0626439,-0.0150572,0.62029,-939.262,-1546.88,95.7441,,,,,,,,,,,,,,,,,,
