Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
294,0,0.0224331,-0.02419,-1.54098,897.265,1249.16,88.3195
295,0,0.0250413,-0.02665,-1.5409,897.24,1249.14,88.3487
296,0,0.0233087,-0.0253825,-1.54088,897.23,1249.11,88.3239
297,0,0.0251784,-0.0270477,-1.54098,897.278,1249.17,88.3307
298,0,0.0233293,-0.0251707,-1.54025,897.313,1249.12,88.2552
299,0,0.0234683,-0.0254873,-1.5411,897.302,1249.19,88.2848
300,0,0.0229108,-0.0254042,-1.5407,897.26,1249.14,88.3142
301,0,0.0228789,-0.0250852,-1.54078,897.287,1249.18,88.2849
302,0,0.0244726,-0.0264252,-1.54084,897.262,1249.16,88.368
303,0,0.0232378,-0.0251872,-1.54093,897.276,1249.18,88.3117
304,0,0.0235557,-0.0254036,-1.54091,897.272,1249.17,88.3234
305,0,0.0239339,-0.0256028,-1.54071,897.289,1249.18,88.2782
306,0,0.0236971,-0.0258116,-1.54089,897.262,1249.17,88.309
307,0,0.0255686,-0.0269164,-1.54062,897.281,1249.16,88.3408
308,0,0.0234748,-0.0256764,-1.54082,897.283,1249.16,88.2794
309,0,0.024553,-0.0263102,-1.54064,897.232,1249.13,88.345
310,0,0.024822,-0.0267151,-1.54068,897.286,1249.14,88.2927
311,0,0.0245436,-0.0264639,-1.54084,897.279,1249.1,88.3379
312,0,0.0230278,-0.0252687,-1.5413,897.34,1249.24,88.2947
313,0,0.0245991,-0.0267615,-1.54077,897.238,1249.1,88.346
314,0,0.0236956,-0.0255148,-1.5409,897.266,1249.17,88.2891
315,0,0.0236334,-0.0251664,-1.5406,897.254,1249.17,88.2787
316,0,0.0237181,-0.0261001,-1.54085,897.288,1249.18,88.2742
317,0,0.0255555,-0.0273588,-1.54088,897.266,1249.14,88.2636
318,0,0.0205488,-0.0217275,-1.54096,897.276,1249.2,88.327
319,0,0.0282822,-0.0298332,-1.54076,897.259,1249.18,88.3616
320,0,0.021237,-0.0232695,-1.54097,897.265,1249.19,88.2483
321,0,0.0245084,-0.0262203,-1.54103,897.276,1249.17,88.2605
322,0,0.0251742,-0.0264556,-1.54048,897.318,1249.15,88.2726
323,0,0.0246686,-0.0262583,-1.54094,897.286,1249.17,88.263
324,0,0.0225831,-0.0243543,-1.54088,897.263,1249.14,88.2552
325,0,0.0216114,-0.0227407,-1.54071,897.261,1249.15,88.3022
326,0,0.0234187,-0.0255924,-1.5404,897.234,1249.1,88.25
327,0,0.0230568,-0.024733,-1.5407,897.253,1249.14,88.2528
328,0,0.0230859,-0.0252926,-1.5411,897.318,1249.2,88.2504
329,0,0.0249127,-0.0270101,-1.54054,897.247,1249.13,88.2658
330,0,0.0241053,-0.0259536,-1.54078,897.286,1249.19,88.3023
331,0,0.0230712,-0.0245164,-1.54101,897.282,1249.21,88.2676
332,0,0.0240083,-0.0251374,-1.54065,897.276,1249.2,88.3021
333,0,0.0228726,-0.0234229,-1.54062,897.236,1249.16,88.3294
334,0,0.0234383,-0.0253456,-1.54059,897.286,1249.19,88.2685
335,0,0.0243993,-0.0262927,-1.54113,897.278,1249.18,88.3242
336,0,0.0254244,-0.0270227,-1.54081,897.253,1249.15,88.2979
337,0,0.0227808,-0.0245235,-1.54087,897.27,1249.19,88.2646
338,0,0.0225619,-0.0241969,-1.54072,897.239,1249.18,88.2685
339,0,0.0224069,-0.0245032,-1.54073,897.246,1249.17,88.3054
340,0,0.0238196,-0.0254335,-1.541,897.281,1249.2,88.3528
341,0,0.0246158,-0.0266134,-1.54106,897.293,1249.21,88.2826
342,0,0.0243164,-0.0267285,-1.54073,897.273,1249.13,88.2625
343,0,0.0237091,-0.0250833,-1.54101,897.313,1249.19,88.2884
344,0,0.0247912,-0.0266816,-1.5409,897.262,1249.16,88.3074
345,0,0.0239678,-0.0256348,-1.54105,897.259,1249.17,88.368
346,0,0.0235282,-0.0255771,-1.54093,897.277,1249.14,88.27
347,0,0.0259959,-0.0275663,-1.54054,897.266,1249.11,88.2876
348,0,0.0213651,-0.0229961,-1.54089,897.27,1249.17,88.2519
349,0,0.0243055,-0.0258543,-1.5403,897.316,1249.13,88.2342
350,0,0.023595,-0.025601,-1.54074,897.253,1249.13,88.2513
351,0,0.0241646,-0.0258236,-1.54098,897.263,1249.16,88.2908
352,0,0.0226829,-0.0239336,-1.54083,897.249,1249.16,88.3362
353,0,0.0247298,-0.0268142,-1.54101,897.264,1249.17,88.3149
354,0,0.0229464,-0.024674,-1.54053,897.232,1249.08,88.2581
355,0,0.0292519,-0.0312743,-1.54117,897.287,1249.26,88.3091
356,0,0.0222395,-0.0240046,-1.54028,897.308,1249.15,88.2622
357,0,0.0254893,-0.0273498,-1.54101,897.295,1249.2,88.2888
358,0,0.0244901,-0.0264797,-1.54106,897.287,1249.16,88.304
359,0,0.0234378,-0.0250152,-1.54102,897.279,1249.21,88.3051
360,0,0.024016,-0.0259055,-1.54092,897.297,1249.13,88.2996
361,0,0.0220452,-0.0237499,-1.54039,897.287,1249.09,88.2624
362,0,0.0236379,-0.0254691,-1.54083,897.272,1249.19,88.2933
363,0,0.0224952,-0.0245696,-1.54067,897.235,1249.14,88.2761
364,0,0.0244124,-0.026205,-1.54095,897.263,1249.17,88.2752
365,0,0.0244677,-0.0266056,-1.54104,897.27,1249.17,88.2626
366,0,0.0258663,-0.0274152,-1.54064,897.253,1249.22,88.3686
367,0,0.0242223,-0.0256901,-1.54059,897.252,1249.16,88.3318
368,0,0.0234286,-0.0246283,-1.54056,897.23,1249.14,88.3208
369,0,0.0234153,-0.0246616,-1.5408,897.257,1249.19,88.3198
370,0,0.0257624,-0.0274496,-1.54084,897.236,1249.14,88.2823
371,0,0.0249051,-0.0264729,-1.54105,897.303,1249.24,88.2221
372,0,0.0233825,-0.0251505,-1.54036,897.308,1249.16,88.2421
373,0,0.0247932,-0.0267274,-1.54097,897.249,1249.15,88.2697
374,0,0.0216363,-0.0235407,-1.54085,897.264,1249.17,88.3009
375,0,0.0269717,-0.0286268,-1.54019,897.262,1249.04,88.29
376,0,0.0235603,-0.0250115,-1.54008,897.296,1249.08,88.2358
377,0,0.0249012,-0.0264972,-1.54085,897.27,1249.13,88.2886
378,0,0.0253383,-0.0264724,-1.54061,897.252,1249.11,88.2901
379,0,0.0312924,-0.0360416,-1.5425,897.551,1249.19,88.0347
380,0,0.0308004,-0.0360691,-1.54209,897.479,1249.17,88.0536
